"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10561,20562,9642,10920,20205,9505,10700,357,137,220
"합계",광진구,중곡3동,8473,15676,7710,7966,15365,7592,7773,311,118,193
"합계",광진구,중곡4동,12996,27735,13474,14261,27301,13301,14000,434,173,261
"합계",광진구,능동,6454,11389,5252,6137,10936,5023,5913,453,229,224
"합계",광진구,구의1동,13186,23676,11197,12479,22971,10915,12056,705,282,423
"합계",광진구,구의2동,11474,25962,12328,13634,25336,12050,13286,626,278,348
"합계",광진구,구의3동,12061,27989,13159,14830,27752,13057,14695,237,102,135
"합계",광진구,광장동,11876,34071,16421,17650,33823,16313,17510,248,108,140
"합계",광진구,자양1동,12099,22721,10981,11740,21791,10572,11219,930,409,521
"합계",광진구,자양2동,10951,23791,11495,12296,23447,11350,12097,344,145,199
"합계",광진구,자양3동,11002,27394,13084,14310,27066,12939,14127,328,145,183
"합계",광진구,자양4동,10950,23270,11284,11986,19685,9692,9993,3585,1592,1993
"합계",동대문구,소계,173296,359702,173547,186155,339611,166095,173516,20091,7452,12639
"합계",동대문구,회기동,6584,13607,6053,7554,10237,4819,5418,3370,1234,2136
"합계",동대문구,휘경1동,7647,16153,7188,8965,13499,6281,7218,2654,907,1747
"합계",동대문구,휘경2동,12754,25276,12395,12881,24106,12005,12101,1170,390,780
"합계",동대문구,청량리동,10063,19154,9370,9784,18487,9095,9392,667,275,392
"합계",동대문구,용신동,21864,40410,19706,20704,38609,19052,19557,1801,654,1147
"합계",동대문구,제기동,13038,25415,12619,12796,22854,11733,11121,2561,886,1675
"합계",동대문구,전농1동,16538,33781,16685,17096,32893,16349,16544,888,336,552
"합계",동대문구,전농2동,7464,18143,8564,9579,17656,8371,9285,487,193,294
"합계",동대문구,답십리2동,12391,27472,13127,14345,27090,12964,14126,382,163,219
"합계",동대문구,장안1동,18330,37896,18570,19326,37147,18278,18869,749,292,457
"합계",동대문구,장안2동,14615,33250,16335,16915,32866,16204,16662,384,131,253
"합계",동대문구,이문1동,10470,21093,9952,11141,17251,8485,8766,3842,1467,2375
"합계",동대문구,이문2동,8537,19747,9487,10260,19052,9145,9907,695,342,353
"합계",동대문구,답십리1동,13001,28305,13496,14809,27864,13314,14550,441,182,259
"합계",중랑구,소계,188637,385531,187972,197559,379541,185591,193950,5990,2381,3609
