"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",영등포구,대림2동,6878,17467,8844,8623,11625,5669,5956,5842,3175,2667
"합계",영등포구,대림3동,10269,24698,12418,12280,21217,10597,10620,3481,1821,1660
"합계",영등포구,영등포본동,10352,22322,11414,10908,20510,10477,10033,1812,937,875
"합계",영등포구,영등포동,22429,32198,16288,15910,31331,15903,15428,867,385,482
"합계",영등포구,도림동,9814,19615,9900,9715,17636,8922,8714,1979,978,1001
"합계",영등포구,문래동,13063,31836,15471,16365,31608,15366,16242,228,105,123
"합계",동작구,소계,187193,387988,186523,201465,376440,181886,194554,11548,4637,6911
"합계",동작구,노량진2동,5669,8953,4703,4250,8096,4259,3837,857,444,413
"합계",동작구,상도1동,22807,46355,22106,24249,43997,21341,22656,2358,765,1593
"합계",동작구,상도2동,12466,27642,13098,14544,27269,12979,14290,373,119,254
"합계",동작구,상도3동,12188,24084,11422,12662,23686,11255,12431,398,167,231
"합계",동작구,상도4동,14700,29187,14045,15142,28772,13907,14865,415,138,277
"합계",동작구,사당1동,13907,22818,10947,11871,22345,10750,11595,473,197,276
"합계",동작구,사당3동,10368,23714,11444,12270,23451,11322,12129,263,122,141
"합계",동작구,사당4동,7325,13902,6628,7274,13714,6545,7169,188,83,105
"합계",동작구,사당5동,6724,14211,6790,7421,14079,6731,7348,132,59,73
"합계",동작구,대방동,16626,35603,16755,18848,35235,16592,18643,368,163,205
"합계",동작구,신대방1동,10471,24964,12089,12875,23135,11131,12004,1829,958,871
"합계",동작구,신대방2동,10664,22166,10586,11580,21897,10482,11415,269,104,165
"합계",동작구,흑석동,13000,32472,15336,17136,30138,14555,15583,2334,781,1553
"합계",동작구,노량진1동,17738,33679,17041,16638,32709,16656,16053,970,385,585
"합계",동작구,사당2동,12540,28238,13533,14705,27917,13381,14536,321,152,169
"합계",관악구,소계,285766,495804,247771,248033,478167,240716,237451,17637,7055,10582
"합계",관악구,보라매동,12972,23874,11655,12219,23365,11444,11921,509,211,298
"합계",관악구,청림동,6393,14709,7022,7687,14586,6973,7613,123,49,74
"합계",관악구,행운동,18254,29315,14071,15244,28694,13865,14829,621,206,415
"합계",관악구,낙성대동,12268,18081,9028,9053,17459,8764,8695,622,264,358
"합계",관악구,중앙동,10356,15597,7381,8216,15183,7241,7942,414,140,274
"합계",관악구,인헌동,14712,25457,12287,13170,25038,12138,12900,419,149,270
"합계",관악구,남현동,9877,17692,8549,9143,17479,8469,9010,213,80,133
"합계",관악구,서원동,15348,23886,12387,11499,22976,12053,10923,910,334,576
"합계",관악구,신원동,11299,18352,9307,9045,17412,8936,8476,940,371,569
"합계",관악구,서림동,15257,24669,13522,11147,23235,12950,10285,1434,572,862
"합계",관악구,신사동,14593,24375,12106,12269,22161,11097,11064,2214,1009,1205
"합계",관악구,신림동,19167,24020,12706,11314,22956,12378,10578,1064,328,736
"합계",관악구,난향동,6176,14755,7189,7566,14631,7126,7505,124,63,61
"합계",관악구,조원동,12317,21053,10437,10616,19574,9729,9845,1479,708,771
"합계",관악구,대학동,17691,27841,16291,11550,24351,14953,9398,3490,1338,2152
"합계",관악구,은천동,16025,32416,15826,16590,31889,15622,16267,527,204,323
"합계",관악구,성현동,12217,28175,13556,14619,27981,13473,14508,194,83,111
"합계",관악구,청룡동,24424,37076,17694,19382,35922,17276,18646,1154,418,736
"합계",관악구,난곡동,12789,25278,12568,12710,24811,12363,12448,467,205,262
"합계",관악구,삼성동,9545,19664,9752,9912,19519,9684,9835,145,68,77
"합계",관악구,미성동,14086,29519,14437,15082,28945,14182,14763,574,255,319
"합계",서초구,소계,170710,413061,196414,216647,408382,194172,214210,4679,2242,2437
"합계",서초구,서초1동,9523,20413,9781,10632,20183,9695,10488,230,86,144
"합계",서초구,서초2동,11394,25111,11823,13288,24676,11584,13092,435,239,196
"합계",서초구,서초3동,15403,32364,15326,17038,31964,15131,16833,400,195,205
"합계",서초구,서초4동,10693,30550,14894,15656,30270,14759,15511,280,135,145
"합계",서초구,잠원동,10649,26967,13006,13961,26751,12905,13846,216,101,115
"합계",서초구,반포본동,110,235,106,129,226,100,126,9,6,3
"합계",서초구,반포1동,14649,34203,16666,17537,33760,16478,17282,443,188,255
"합계",서초구,반포2동,8486,26378,12502,13876,26222,12427,13795,156,75,81
"합계",서초구,반포3동,8268,24039,11441,12598,23957,11399,12558,82,42,40
"합계",서초구,반포4동,7036,19294,9049,10245,18466,8604,9862,828,445,383
"합계",서초구,방배본동,7868,20243,9334,10909,20075,9250,10825,168,84,84
"합계",서초구,방배1동,7521,16569,7705,8864,16439,7652,8787,130,53,77
"합계",서초구,방배2동,7852,18007,8380,9627,17878,8323,9555,129,57,72
"합계",서초구,방배3동,5844,15888,7549,8339,15708,7475,8233,180,74,106
"합계",서초구,방배4동,9609,22989,10384,12605,22651,10226,12425,338,158,180
"합계",서초구,양재1동,17688,41535,19703,21832,41196,19555,21641,339,148,191
"합계",서초구,양재2동,11027,21324,10604,10720,21073,10478,10595,251,126,125
"합계",서초구,내곡동,7090,16952,8161,8791,16887,8131,8756,65,30,35
"합계",강남구,소계,245447,563831,269386,294445,557942,266731,291211,5889,2655,3234
"합계",강남구,신사동,6638,15491,7248,8243,15285,7149,8136,206,99,107
"합계",강남구,개포3동,7363,16791,8093,8698,16719,8060,8659,72,33,39
"합계",강남구,논현1동,13483,21554,10158,11396,20813,9857,10956,741,301,440
"합계",강남구,논현2동,11222,20605,9513,11092,20224,9359,10865,381,154,227
"합계",강남구,삼성1동,5177,12285,6084,6201,11930,5834,6096,355,250,105
"합계",강남구,삼성2동,13848,30831,14729,16102,30503,14567,15936,328,162,166
"합계",강남구,대치1동,7256,24004,12034,11970,23963,12013,11950,41,21,20
"합계",강남구,대치4동,9746,18748,8951,9797,18439,8834,9605,309,117,192
"합계",강남구,역삼1동,23886,35624,17270,18354,34235,16728,17507,1389,542,847
"합계",강남구,역삼2동,15641,36695,17077,19618,36317,16916,19401,378,161,217
"합계",강남구,도곡1동,8221,20707,9801,10906,20567,9743,10824,140,58,82
"합계",강남구,도곡2동,11441,32413,15019,17394,32316,14962,17354,97,57,40
"합계",강남구,개포1동,9118,26353,12701,13652,26297,12676,13621,56,25,31
"합계",강남구,개포4동,10091,23298,11197,12101,23117,11126,11991,181,71,110
"합계",강남구,일원본동,7968,22680,11168,11512,22650,11155,11495,30,13,17
"합계",강남구,일원1동,7431,14446,6959,7487,14293,6896,7397,153,63,90
"합계",강남구,수서동,7626,13725,6174,7551,13652,6144,7508,73,30,43
"합계",강남구,세곡동,20316,46480,21705,24775,46280,21624,24656,200,81,119
"합계",강남구,압구정동,9997,25725,11967,13758,25541,11862,13679,184,105,79
"합계",강남구,청담동,10604,24392,11382,13010,24137,11240,12897,255,142,113
"합계",강남구,대치2동,13355,38550,19634,18916,38373,19530,18843,177,104,73
"합계",강남구,개포2동,15019,42434,20522,21912,42291,20456,21835,143,66,77
"합계",송파구,소계,287435,658128,315437,342691,651910,312616,339294,6218,2821,3397
"합계",송파구,풍납1동,5426,11865,5831,6034,11394,5597,5797,471,234,237
"합계",송파구,풍납2동,10339,23377,11086,12291,23156,10987,12169,221,99,122
"합계",송파구,거여1동,5566,11915,5907,6008,11820,5872,5948,95,35,60
"합계",송파구,거여2동,10085,23452,11365,12087,23352,11323,12029,100,42,58
"합계",송파구,마천1동,7967,16722,8536,8186,16567,8477,8090,155,59,96
"합계",송파구,마천2동,8477,17415,8868,8547,17252,8800,8452,163,68,95
"합계",송파구,방이1동,6179,15167,7253,7914,15065,7213,7852,102,40,62
"합계",송파구,방이2동,15940,26820,12184,14636,26150,11867,14283,670,317,353
"합계",송파구,오륜동,5885,17771,8725,9046,17739,8706,9033,32,19,13
"합계",송파구,오금동,16054,38304,18510,19794,38007,18363,19644,297,147,150
"합계",송파구,송파1동,12511,23432,10802,12630,23143,10667,12476,289,135,154
"합계",송파구,송파2동,7235,18769,9005,9764,18642,8944,9698,127,61,66
"합계",송파구,석촌동,17141,31104,14634,16470,30536,14398,16138,568,236,332
"합계",송파구,삼전동,16167,29134,13640,15494,28747,13476,15271,387,164,223
"합계",송파구,가락본동,11567,25136,12386,12750,24832,12250,12582,304,136,168
"합계",송파구,가락1동,9768,27711,13393,14318,27430,13253,14177,281,140,141
"합계",송파구,가락2동,12372,31051,15112,15939,30853,15021,15832,198,91,107
"합계",송파구,문정1동,8929,19876,9722,10154,19683,9625,10058,193,97,96
"합계",송파구,문정2동,15884,28979,13257,15722,28799,13184,15615,180,73,107
"합계",송파구,잠실본동,16220,28119,13299,14820,27569,13065,14504,550,234,316
"합계",송파구,잠실4동,7216,21182,10223,10959,21121,10194,10927,61,29,32
"합계",송파구,잠실6동,5856,16653,7877,8776,16442,7760,8682,211,117,94
"합계",송파구,잠실7동,3366,9398,4363,5035,9383,4354,5029,15,9,6
"합계",송파구,잠실2동,11547,34981,16762,18219,34888,16706,18182,93,56,37
"합계",송파구,잠실3동,11880,33997,16023,17974,33870,15955,17915,127,68,59
"합계",송파구,장지동,12945,30508,14644,15864,30326,14567,15759,182,77,105
"합계",송파구,위례동,14913,45290,22030,23260,45144,21992,23152,146,38,108
"합계",강동구,소계,208850,472772,230530,242242,468284,228578,239706,4488,1952,2536
"합계",강동구,명일1동,9989,25020,12200,12820,24909,12159,12750,111,41,70
"합계",강동구,명일2동,6429,16966,8228,8738,16903,8209,8694,63,19,44
"합계",강동구,고덕1동,8153,23909,12229,11680,23833,12191,11642,76,38,38
"합계",강동구,고덕2동,9754,25613,12886,12727,25371,12741,12630,242,145,97
"합계",강동구,암사2동,6374,14702,7082,7620,14631,7059,7572,71,23,48
"합계",강동구,암사3동,6067,17154,8372,8782,17116,8353,8763,38,19,19
"합계",강동구,천호1동,12884,25884,12633,13251,25589,12506,13083,295,127,168
"합계",강동구,천호3동,14889,26857,12891,13966,26277,12593,13684,580,298,282
"합계",강동구,성내1동,8208,19373,9273,10100,19225,9220,10005,148,53,95
"합계",강동구,성내2동,13800,24480,11890,12590,23882,11612,12270,598,278,320
"합계",강동구,성내3동,10614,22385,10875,11510,22006,10712,11294,379,163,216
"합계",강동구,둔촌1동,740,1706,879,827,1694,875,819,12,4,8
"합계",강동구,둔촌2동,10584,24507,11979,12528,24372,11927,12445,135,52,83
"합계",강동구,암사1동,15947,33577,16542,17035,33260,16420,16840,317,122,195
"합계",강동구,천호2동,18157,34595,16808,17787,33963,16521,17442,632,287,345
"합계",강동구,길동,23510,48098,23325,24773,47695,23179,24516,403,146,257
"합계",강동구,강일동,13827,34872,16682,18190,34673,16620,18053,199,62,137
"합계",강동구,상일1동,13582,39484,19427,20057,39351,19371,19980,133,56,77
"합계",강동구,상일2동,5342,13590,6329,7261,13534,6310,7224,56,19,37
