"세종특별자치시","강력범죄 (방화)",4,3,2
"세종특별자치시","절도범죄",1279,577,559
"세종특별자치시","폭력범죄",1010,852,1154
"세종특별자치시","기타범죄",5196,3790,4419
"경기도","총범죄",378157,291300,326544
"경기도","강력범죄 소계",5582,5474,5774
"경기도","강력범죄 (살인기수)",62,62,70
"경기도","강력범죄(살인미수 등)",108,104,110
"경기도","강력범죄(강도)",124,122,208
"경기도","강력범죄(강간)",1131,1120,1207
"경기도","강력범죄(유사강간)",189,194,195
"경기도","강력범죄 (강제추행)",3617,3555,3668
"경기도","강력범죄 (기타 강간 등)",46,48,48
"경기도","강력범죄 (방화)",305,269,268
"경기도","절도범죄",45483,29905,25802
"경기도","폭력범죄",59986,52045,68469
"경기도","기타범죄",267106,203876,226499
"강원특별자치도","총범죄",43173,35542,38020
"강원특별자치도","강력범죄 소계",722,668,702
"강원특별자치도","강력범죄 (살인기수)",12,11,15
"강원특별자치도","강력범죄(살인미수 등)",15,14,20
"강원특별자치도","강력범죄(강도)",10,10,12
"강원특별자치도","강력범죄(강간)",154,139,150
"강원특별자치도","강력범죄(유사강간)",24,21,20
"강원특별자치도","강력범죄 (강제추행)",471,440,452
"강원특별자치도","강력범죄 (기타 강간 등)",6,5,5
"강원특별자치도","강력범죄 (방화)",30,28,28
"강원특별자치도","절도범죄",4364,3184,2730
"강원특별자치도","폭력범죄",7160,6500,8264
"강원특별자치도","기타범죄",30927,25190,26324
"충청북도","총범죄",42517,34112,36428
"충청북도","강력범죄 소계",711,704,725
"충청북도","강력범죄 (살인기수)",7,7,7
"충청북도","강력범죄(살인미수 등)",17,15,15
"충청북도","강력범죄(강도)",15,15,19
"충청북도","강력범죄(강간)",139,140,139
"충청북도","강력범죄(유사강간)",22,25,26
"충청북도","강력범죄 (강제추행)",451,441,457
"충청북도","강력범죄 (기타 강간 등)",6,8,10
"충청북도","강력범죄 (방화)",54,53,52
"충청북도","절도범죄",5375,3912,2825
"충청북도","폭력범죄",6217,5365,7157
"충청북도","기타범죄",30214,24131,25721
"충청남도","총범죄",61507,48408,53370
"충청남도","강력범죄 소계",1002,951,1007
"충청남도","강력범죄 (살인기수)",16,15,15
"충청남도","강력범죄(살인미수 등)",26,26,27
"충청남도","강력범죄(강도)",29,29,44
"충청남도","강력범죄(강간)",203,196,212
"충청남도","강력범죄(유사강간)",33,27,26
"충청남도","강력범죄 (강제추행)",630,599,624
"충청남도","강력범죄 (기타 강간 등)",10,11,12
"충청남도","강력범죄 (방화)",55,48,47
"충청남도","절도범죄",7624,4853,4081
"충청남도","폭력범죄",9324,7989,10498
"충청남도","기타범죄",43557,34615,37784
"전북특별자치도","총범죄",46143,36857,40718
"전북특별자치도","강력범죄 소계",741,728,764
"전북특별자치도","강력범죄 (살인기수)",10,10,9
"전북특별자치도","강력범죄(살인미수 등)",20,20,25
"전북특별자치도","강력범죄(강도)",13,13,16
"전북특별자치도","강력범죄(강간)",165,168,176
"전북특별자치도","강력범죄(유사강간)",30,28,31
"전북특별자치도","강력범죄 (강제추행)",456,444,461
"전북특별자치도","강력범죄 (기타 강간 등)",2,3,5
"전북특별자치도","강력범죄 (방화)",45,42,41
"전북특별자치도","절도범죄",6062,4952,3562
"전북특별자치도","폭력범죄",7281,6372,8589
"전북특별자치도","기타범죄",32059,24805,27803
"전라남도","총범죄",49909,41607,46725
"전라남도","강력범죄 소계",770,747,783
"전라남도","강력범죄 (살인기수)",17,17,17
"전라남도","강력범죄(살인미수 등)",20,20,20
"전라남도","강력범죄(강도)",11,10,19
"전라남도","강력범죄(강간)",173,168,191
"전라남도","강력범죄(유사강간)",36,35,35
"전라남도","강력범죄 (강제추행)",449,439,447
"전라남도","강력범죄 (기타 강간 등)",8,8,9
"전라남도","강력범죄 (방화)",56,50,45
"전라남도","절도범죄",5680,4028,3605
"전라남도","폭력범죄",8868,8140,10587
"전라남도","기타범죄",34591,28692,31750
"경상북도","총범죄",67953,55014,56200
"경상북도","강력범죄 소계",1005,963,998
"경상북도","강력범죄 (살인기수)",13,13,13
"경상북도","강력범죄(살인미수 등)",31,30,30
"경상북도","강력범죄(강도)",27,25,31
"경상북도","강력범죄(강간)",227,209,220
"경상북도","강력범죄(유사강간)",40,38,41
"경상북도","강력범죄 (강제추행)",588,573,579
"경상북도","강력범죄 (기타 강간 등)",8,9,17
"경상북도","강력범죄 (방화)",71,66,67
"경상북도","절도범죄",9312,6479,4075
"경상북도","폭력범죄",10897,9264,11723
"경상북도","기타범죄",46739,38308,39404
"경상남도","총범죄",90536,72298,73651
"경상남도","강력범죄 소계",1238,1182,1233
"경상남도","강력범죄 (살인기수)",18,19,20
"경상남도","강력범죄(살인미수 등)",31,30,29
"경상남도","강력범죄(강도)",38,39,63
"경상남도","강력범죄(강간)",259,249,271
"경상남도","강력범죄(유사강간)",45,45,48
"경상남도","강력범죄 (강제추행)",754,714,716
"경상남도","강력범죄 (기타 강간 등)",13,13,18
"경상남도","강력범죄 (방화)",80,73,68
"경상남도","절도범죄",14282,10269,5195
"경상남도","폭력범죄",14434,12516,16218
"경상남도","기타범죄",60582,48331,51005
"제주특별자치도","총범죄",26836,20837,22033
"제주특별자치도","강력범죄 소계",462,439,453
"제주특별자치도","강력범죄 (살인기수)",5,5,4
